,eigVal,eigVec,Gain,Loss,Coupling bt. bands,Coupling bt. band1 and exciton,Coupling bt. band2 and exciton,Ecm,XC
0,"[1650.99392397-2.98538931e-14j 1523.89160242+1.08722405e-14j
 1535.11447361+3.87319868e-13j]","[[ 0.06597214+0.00255718j -0.52980405+0.46783031j  0.70449029+0.j        ]
 [ 0.06597214-0.00255718j  0.70679384+0.j          0.52567604-0.46901094j]
 [ 0.9956316 +0.j         -0.01052605-0.02782311j -0.08030818+0.03061815j]]",5.0,5,8,7.5,7.5,1530,1650
1,"[1650.99385582-1.27425062e-13j 1523.98161491+6.66525722e-13j
 1535.02452927-1.09634542e-13j]","[[ 0.06596764+0.00260815j  0.70677848+0.j          0.51719292+0.47838172j]
 [ 0.06596764-0.00260815j -0.52136279-0.47719668j  0.70451231+0.j        ]
 [ 0.99563193+0.j         -0.01103504+0.02840042j -0.07969343-0.03120546j]]",5.1,5,8,7.5,7.5,1530,1650
2,"[1650.99378668-3.42950884e-14j 1524.07447062+1.25546149e-13j
 1534.9317427 -5.15231901e-13j]","[[ 0.06596307+0.00265885j  0.70676259+0.j          0.50844215+0.48770491j]
 [ 0.06596307-0.00265885j -0.51265448-0.48651695j  0.70453495+0.j        ]
 [ 0.99563227+0.j         -0.01156089+0.02897647j -0.07906028-0.03178797j]]",5.1995,5,8,7.5,7.5,1530,1650
3,"[1650.99371657+6.68344249e-14j 1524.17029391+1.02663111e-13j
 1534.83598952-1.45524046e-13j]","[[ 0.06595844+0.00270929j  0.70674614+0.j          0.49941202+0.49698085j]
 [ 0.06595844-0.00270929j -0.50366743-0.49579151j  0.70455825+0.j        ]
 [ 0.99563261+0.j         -0.01210438+0.02955134j -0.07840798-0.03236564j]]",5.29850375,5,8,7.5,7.5,1530,1650
4,"[1650.9936455 -6.61613810e-14j 1524.26922356-3.40313438e-13j
 1534.73713094-2.93456813e-13j]","[[ 0.06595375+0.00275946j -0.49438858+0.50502075j  0.70458223+0.j        ]
 [ 0.06595375-0.00275946j  0.7067291 +0.j          0.49008949-0.50620985j]
 [ 0.99563295+0.j         -0.01266638-0.03012513j -0.07773568+0.03293839j]]",5.3970149625,5,8,7.5,7.5,1530,1650
5,"[1650.99357349+8.69915915e-14j 1524.37141488-1.51264513e-13j
 1534.63501162+2.01564529e-13j]","[[ 0.06594899+0.00280938j -0.48480331+0.51420503j  0.70460691+0.j        ]
 [ 0.06594899-0.00280938j  0.70671144+0.j          0.48045995-0.51539221j]
 [ 0.9956333 +0.j         -0.01324787-0.03069793j -0.07704245+0.03350619j]]",5.4950373129687495,5,8,7.5,7.5,1530,1650
6,"[1650.99350057-4.41101691e-14j 1534.52945706-1.36636321e-13j
 1524.47704237-5.17683095e-13j]","[[ 0.06594417+0.00285904j  0.70463234+0.j         -0.47489522+0.52334474j]
 [ 0.06594417-0.00285904j  0.470507  -0.52452825j  0.70669314+0.j        ]
 [ 0.99563366+0.j         -0.07632722+0.03406897j -0.01384993-0.03126986j]]",5.5925744403054685,5,8,7.5,7.5,1530,1650
7,"[1650.99342674-6.14414119e-14j 1534.42027039-2.28621385e-13j
 1524.58630286+8.70532645e-14j]","[[ 0.0659393 +0.00290844j  0.70465855+0.j          0.70667413+0.j        ]
 [ 0.0659393 -0.00290844j  0.46021214-0.53361827j -0.46464578-0.53244026j]
 [ 0.99563402+0.j         -0.07558877+0.03462663j -0.0144738 +0.03184104j]]",5.689629947294654,5,8,7.5,7.5,1530,1650
8,"[1650.99335203-4.70873882e-14j 1534.30722855-4.78581943e-13j
 1524.69941942-2.03813664e-14j]","[[ 0.06593436+0.00295759j  0.44955438+0.54266253j  0.70665439+0.j        ]
 [ 0.06593436-0.00295759j  0.70468558+0.j         -0.45403401-0.54149196j]
 [ 0.99563438+0.j         -0.07482576-0.03517911j -0.01512086+0.03241158j]]",5.7862074010541065,5,8,7.5,7.5,1530,1650
9,"[1650.99327645+8.49590851e-14j 1534.19007734+3.83109774e-13j
 1524.81664621-4.20452581e-13j]","[[ 0.06592937+0.00300649j  0.70471349+0.j         -0.44303599+0.55050023j]
 [ 0.06592937-0.00300649j  0.43850983-0.55166134j  0.70663385+0.j        ]
 [ 0.99563475+0.j         -0.07403662+0.0357263j  -0.01579271-0.03298164j]]",5.8823103334762825,5,8,7.5,7.5,1530,1650
