,eigVal,eigVec,Coupling coeff.,Ecm,XC,Ecm-XC
0,[0.7294-0.00226945j 0.7294+0.00208945j],"[[ 8.47316321e-01+0.j         -2.59803836e-14-0.53108855j]
 [ 9.93863577e-15+0.53108855j  8.47316321e-01+0.j        ]]",0.0045,(0.7294-9e-05j),(0.7294-9e-05j),0j
1,[0.7294-0.00223294j 0.7294+0.00205294j],"[[ 8.45159183e-01+0.j          8.75328201e-15-0.53451469j]
 [-1.89761231e-14+0.53451469j  8.45159183e-01+0.j        ]]",0.0045175,(0.7294-9e-05j),(0.7294-9e-05j),0j
2,[0.7294-0.00219565j 0.7294+0.00201565j],"[[ 8.42950361e-01+0.j         -9.59636639e-15-0.53799135j]
 [ 0.00000000e+00+0.53799135j  8.42950361e-01+0.j        ]]",0.004535,(0.7294-9e-05j),(0.7294-9e-05j),0j
3,[0.7294-0.00215755j 0.7294+0.00197755j],"[[8.40686942e-01+0.j         1.10504185e-14-0.54152144j]
 [0.00000000e+00+0.54152144j 8.40686942e-01+0.j        ]]",0.004552499999999999,(0.7294-9e-05j),(0.7294-9e-05j),0j
4,[0.7294-0.00211857j 0.7294+0.00193857j],"[[ 8.38365727e-01+0.j          2.25880922e-14-0.54510816j]
 [-2.01118055e-14+0.54510816j  8.38365727e-01+0.j        ]]",0.004569999999999999,(0.7294-9e-05j),(0.7294-9e-05j),0j
5,[0.7294-0.00207868j 0.7294+0.00189868j],"[[ 8.35983187e-01+0.j          1.88352280e-14-0.54875506j]
 [-2.16970876e-14+0.54875506j  8.35983187e-01+0.j        ]]",0.0045874999999999996,(0.7294-9e-05j),(0.7294-9e-05j),0j
6,[0.7294-0.00203781j 0.7294+0.00185781j],"[[ 8.33535415e-01+0.j          2.45059268e-14-0.55246603j]
 [-2.82246655e-14+0.55246603j  8.33535415e-01+0.j        ]]",0.004605,(0.7294-9e-05j),(0.7294-9e-05j),0j
7,[0.7294-0.00199591j 0.7294+0.00181591j],"[[8.31018063e-01+0.j         5.71489089e-15-0.55624543j]
 [6.44734970e-15+0.55624543j 8.31018063e-01+0.j        ]]",0.0046225,(0.7294-9e-05j),(0.7294-9e-05j),0j
8,[0.7294-0.0019529j 0.7294+0.0017729j],"[[ 8.28426277e-01+0.j         -7.63566203e-15-0.56009812j]
 [ 1.43951405e-14+0.56009812j  8.28426277e-01+0.j        ]]",0.00464,(0.7294-9e-05j),(0.7294-9e-05j),0j
9,[0.7294-0.00190871j 0.7294+0.00172871j],"[[ 8.25754601e-01+0.j          2.98051883e-14-0.56402955j]
 [-2.26477766e-14+0.56402955j  8.25754601e-01+0.j        ]]",0.004657499999999999,(0.7294-9e-05j),(0.7294-9e-05j),0j
10,[0.7294-0.00186324j 0.7294+0.00168324j],"[[ 8.22996875e-01+0.j         1.64720832e-14-0.5680459j]
 [-8.35862107e-15+0.5680459j  8.22996875e-01+0.j       ]]",0.0046749999999999995,(0.7294-9e-05j),(0.7294-9e-05j),0j
11,[0.7294-0.0018164j 0.7294+0.0016364j],"[[ 8.20146095e-01+0.j          2.74447666e-14-0.57215416j]
 [-3.56101511e-14+0.57215416j  8.20146095e-01+0.j        ]]",0.0046925,(0.7294-9e-05j),(0.7294-9e-05j),0j
12,[0.7294-0.00176806j 0.7294+0.00158806j],"[[ 8.17194246e-01+0.j         -2.87525351e-14-0.57636235j]
 [ 2.47062549e-14+0.57636235j  8.17194246e-01+0.j        ]]",0.00471,(0.7294-9e-05j),(0.7294-9e-05j),0j
13,[0.7294-0.00171811j 0.7294+0.00153811j],"[[ 8.14132083e-01+0.j         -1.40994053e-14-0.58067973j]
 [ 0.00000000e+00+0.58067973j  8.14132083e-01+0.j        ]]",0.0047275,(0.7294-9e-05j),(0.7294-9e-05j),0j
14,[0.7294-0.00166638j 0.7294+0.00148638j],"[[ 8.10948848e-01+0.j         -5.43283230e-14-0.58511705j]
 [ 3.79755851e-14+0.58511705j  8.10948848e-01+0.j        ]]",0.004744999999999999,(0.7294-9e-05j),(0.7294-9e-05j),0j
15,[0.7294-0.00161269j 0.7294+0.00143269j],"[[ 8.07631904e-01+0.j         -2.68223804e-14-0.58968696j]
 [ 0.00000000e+00+0.58968696j  8.07631904e-01+0.j        ]]",0.004762499999999999,(0.7294-9e-05j),(0.7294-9e-05j),0j
16,[0.7294-0.00155683j 0.7294+0.00137683j],"[[ 8.04166234e-01+0.j         -3.94793281e-14-0.59440446j]
 [ 2.43068855e-14+0.59440446j  8.04166234e-01+0.j        ]]",0.0047799999999999995,(0.7294-9e-05j),(0.7294-9e-05j),0j
17,[0.7294-0.00149854j 0.7294+0.00131854j],"[[ 8.00533768e-01+0.j          2.03270812e-14-0.59928765j]
 [-4.86742473e-14+0.59928765j  8.00533768e-01+0.j        ]]",0.0047975,(0.7294-9e-05j),(0.7294-9e-05j),0j
18,[0.7294-0.00143751j 0.7294+0.00125751j],"[[ 7.96712430e-01+0.j         -2.46408311e-14-0.60435859j]
 [ 3.15565028e-14+0.60435859j  7.96712430e-01+0.j        ]]",0.004815,(0.7294-9e-05j),(0.7294-9e-05j),0j
19,[0.7294-0.00137333j 0.7294+0.00119333j],"[[ 7.92674780e-01+0.j         -2.92662264e-14-0.60964473j]
 [ 2.68992783e-14+0.60964473j  7.92674780e-01+0.j        ]]",0.0048325,(0.7294-9e-05j),(0.7294-9e-05j),0j
